,investment,company,sector,horizon,amount,Volatility_Buy,Volatility_sell,Sharpe Ratio,expected_return (yearly),PE_ratio,ESG_ranking
89,1,2,0,1,500,0.15989463444906543,0.15986719705442745,0.15989463444906543,0.000597910738422281,27.58,14.7
90,0,9,1,1,200,0.6813817812776322,0.6817991350504583,0.6813817812776322,0.0014129778861150318,0.0,31.1
91,0,17,2,420,4000,0.3222246795602053,0.34919317055113813,0.3222246795602053,0.3018228724838933,20.88,12.0
92,1,9,1,100,20000,0.45263858595564127,0.3778300581186804,0.45263858595564127,0.14129778861150316,0.0,31.1
93,0,3,0,60,50,0.22934523048414318,0.259329158891756,0.22934523048414318,0.03145946826299688,44.9,22.8
94,0,10,1,7,10000,0.1851761102835732,0.18615382566096228,0.1851761102835732,-0.0020314639726336983,0.0,30.3
95,1,6,1,420,500,0.23592240223092498,0.21434395079695695,0.23592240223092498,-0.013781656171427431,6.25,29.7
96,1,22,4,360,1000,0.19370549853822788,0.1987667417064587,0.19370549853822788,0.14521500445888233,24.77,19.8
97,1,22,4,40,20000,0.19885256370232998,0.20033416424098063,0.19885256370232998,0.01613500049543137,24.77,19.8
98,1,8,1,60,300,0.27972829711349556,0.25390601922557693,0.27972829711349556,-0.0015074892867939422,13.5,28.5
99,0,6,1,600,25000,0.22046850284431577,0.20160920956914533,0.22046850284431577,-0.01968808024489633,6.5,29.7
100,1,1,0,150,5000,0.3246219645230017,0.32977620479756387,0.3246219645230017,0.1351182425861863,0.0,27.4
101,0,24,4,4,100,0.23709482672992616,0.23634554951088485,0.23709482672992616,-0.0015444535869732147,0.0,30.0
102,0,26,4,1,25000,0.21055096231340684,0.21061628770145557,0.21055096231340684,0.0005180881487099944,36.25,26.3
103,1,16,2,600,200,0.15331087864945236,0.17496956053801593,0.15331087864945236,0.27521216731491355,22.17,22.3
104,1,23,4,40,100,0.5366671933158176,0.5455062718389314,0.5366671933158176,0.0012591397686890643,4.33,26.9
105,0,11,1,180,50000,0.3484457058076579,0.23288540979046218,0.3484457058076579,0.021979148585173695,13.55,16.3
106,0,15,2,80,5000,0.2244647144870316,0.2624541417358396,0.2244647144870316,0.0015023727614597564,13.03,12.9
107,0,1,0,270,10000,0.2809247776360626,0.32975274071799193,0.2809247776360626,0.24321283665513532,1116.57,27.4
108,1,13,2,20,20000,0.4172467243466804,0.41652758876763124,0.4172467243466804,0.0004756788598673097,5.03,14.5
109,0,7,1,70,50,0.25198481181019466,0.26185557946443044,0.25198481181019466,0.007840464012068577,3.98,30.6
110,1,19,3,7,400,0.11860413359065806,0.11599471199999847,0.11860413359065806,0.0015228073846179353,21.56,17.6
111,1,15,2,3,20000,0.3954513923838332,0.3953832054864264,0.3954513923838332,5.633897855474086e-05,11.38,12.9
112,1,1,0,90,100,0.25031139712937095,0.2632390730106622,0.25031139712937095,0.08107094555171176,182.28,27.4
113,0,5,0,90,4000,0.26451774218101726,0.2824051262611161,0.26451774218101726,0.12159053166197709,19.17,12.9
114,1,0,0,180,300,0.21268444347120158,0.21663425500884814,0.21268444347120158,0.12119776129403247,14.21,16.5
115,1,5,0,40,300,0.21324832157475218,0.2241632885568502,0.21324832157475218,0.054040236294212035,20.08,12.9
116,1,17,2,6,200,0.3638465989810234,0.3649749570508784,0.3638465989810234,0.0043117553211984745,20.88,12.0
117,1,5,0,330,2000,0.2668498518469043,0.3651355064868678,0.2668498518469043,0.4458319494272493,19.17,12.9
118,1,16,2,270,10000,0.17407598562486015,0.19542849579078558,0.17407598562486015,0.12384547529171108,23.14,22.3
119,0,6,1,1,25000,0.23515858264378373,0.23515858264378373,0.23515858264378373,-3.281346707482722e-05,9.88,29.7
121,1,19,3,120,50000,0.1351705008282163,0.15699579998047972,0.1351705008282163,0.026105269450593174,29.62,17.6
122,0,15,2,240,4000,0.21979616728108634,0.31269391456035245,0.21979616728108634,0.004507118284379269,13.03,12.9
123,0,7,1,240,500,0.22472162165841844,0.2476581102737971,0.22472162165841844,0.026881590898520838,10.06,30.6
124,1,2,0,720,50000,0.21256637896035369,0.2064555481956713,0.21256637896035369,0.43049573166404226,16.7,14.7
125,1,7,1,600,20000,0.250197556468252,0.3140199729097855,0.250197556468252,0.06720397724630209,4.83,30.6
126,0,13,2,5,100,0.36897976060407883,0.3714494090169257,0.36897976060407883,0.00011891971496682742,13.11,14.5
128,0,12,2,3,2000,0.1622474760434237,0.16219769541405502,0.1622474760434237,0.0007975333445170335,13.21,27.3
129,1,14,2,270,1500,0.1750336422046674,0.2050946099092066,0.1750336422046674,0.08441863087736742,14.84,14.8
130,1,2,0,270,50,0.2181379923303271,0.25688823180879833,0.2181379923303271,0.16143589937401587,45.35,14.7
131,1,25,4,5,1000,0.3612338093997357,0.3626868690461338,0.3612338093997357,-0.0005410510279385904,13.36,24.8
132,1,22,4,30,1000,0.17758019843516062,0.18983124195798978,0.17758019843516062,0.012101250371573528,26.03,19.8
133,1,3,0,15,20000,0.20892301187482804,0.1957122795647086,0.20892301187482804,0.00786486706574922,25.92,22.8
134,0,1,0,10,50,0.29775257939614386,0.2965646767829011,0.29775257939614386,0.009007882839079086,152.72,27.4
135,1,7,1,15,2000,0.21690281329905042,0.2145178871619581,0.21690281329905042,0.0016800994311575524,0.0,30.6
136,1,26,4,270,20000,0.21138543229084844,0.20951560195453472,0.21138543229084844,0.13988380015169846,36.25,26.3
138,1,11,1,540,3000,0.29815994458348,0.32253085701850703,0.29815994458348,0.06593744575552109,12.52,16.3
139,0,4,0,1,400,0.28240416842439175,0.28240416842439175,0.28240416842439175,0.00082635267840553,35.29,31.6
140,0,2,0,40,10000,0.18468985650350073,0.18897509590112677,0.18468985650350073,0.02391642953689124,16.1,14.7
141,1,19,3,240,15000,0.1332825432818461,0.1525033524541191,0.1332825432818461,0.05221053890118635,18.57,17.6
142,0,17,2,3,50000,0.3605195584402153,0.3619722255739145,0.3605195584402153,0.0021558776605992373,9.71,12.0
143,1,22,4,5,10000,0.17281777128249354,0.17280612921043267,0.17281777128249354,0.002016875061928921,16.37,19.8
144,1,25,4,5,20000,0.2267164232372458,0.22739060389261703,0.2267164232372458,-0.0005410510279385904,10.34,24.8
145,1,7,1,10,10000,0.2364177456989382,0.23871352898527404,0.2364177456989382,0.001120066287438368,16.35,30.6
146,1,9,1,270,20000,0.40116956253892533,0.5959659494567122,0.40116956253892533,0.38150402925105853,0.0,31.1
147,0,10,1,4,20000,0.19207782148745883,0.19143153911335328,0.19207782148745883,-0.0011608365557906847,0.0,30.3
148,0,2,0,1,5000,0.16302909958054262,0.16302909958054262,0.16302909958054262,0.000597910738422281,27.58,14.7
149,1,2,0,600,1000,0.25016668851639384,0.23661120079884954,0.25016668851639384,0.35874644305336856,10.66,14.7
150,0,10,1,720,25000,0.18790996345674127,0.1264820048319069,0.18790996345674127,-0.20895058004232323,0.0,30.3
152,1,1,0,720,1000,0.2841704964428157,0.3531627596620561,0.2841704964428157,0.6485675644136941,533.91,27.4
153,0,3,0,50,1500,0.1902834394827327,0.21813463805576944,0.1902834394827327,0.026216223552497395,43.79,22.8
154,0,17,2,20,300,0.3894429467568453,0.37111658228334,0.3894429467568453,0.01437251773732825,14.03,12.0
155,1,9,1,660,50,0.5942214261885483,0.3814746700552703,0.5942214261885483,0.9325654048359209,0.0,31.1
156,1,2,0,120,50000,0.27801843960938466,0.23174163370506007,0.27801843960938466,0.07174928861067371,23.18,14.7
157,1,4,0,360,50,0.17497645612270257,0.3387459024441296,0.17497645612270257,0.2974869642259908,34.39,31.6
158,1,7,1,360,100,0.2548534146531276,0.2170807139370242,0.2548534146531276,0.04032238634778126,4.83,30.6
159,1,7,1,360,4000,0.243504348379712,0.2538572796336449,0.243504348379712,0.04032238634778126,4.73,30.6
160,0,13,2,330,15000,0.4288757732016313,0.41045569672976695,0.4288757732016313,0.00784870118781061,6.31,14.5
161,1,23,4,30,15000,0.5340104156674818,0.4820997119948243,0.5340104156674818,0.0009443548265167981,5.8,26.9
162,0,4,0,5,100,0.441091753591073,0.4389963093230812,0.441091753591073,0.00413176339202765,92.63,31.6
163,1,10,1,70,15000,0.14450232605196933,0.12602468204247547,0.14450232605196933,-0.02031463972633698,0.0,30.3
164,0,6,1,360,1500,0.212046474664653,0.2572327873412838,0.212046474664653,-0.011812848146937798,15.5,29.7
165,1,16,2,480,2000,0.14725347106578457,0.17446575725458235,0.14725347106578457,0.2201697338519308,21.94,22.3
167,1,11,1,720,1500,0.2980095964538528,0.2114832767597872,0.2980095964538528,0.08791659434069478,12.52,16.3
168,1,9,1,540,500,0.4168112964188663,0.36827872152032837,0.4168112964188663,0.7630080585021171,0.0,31.1
169,1,5,0,330,1500,0.3744935670229494,0.4478674232384344,0.3744935670229494,0.4458319494272493,29.85,12.9
170,1,24,4,270,5000,0.5094327349561534,0.4088015756794691,0.5094327349561534,-0.10425061712069199,0.0,30.0
171,0,6,1,720,15000,0.21286645087528647,0.2690965871070479,0.21286645087528647,-0.023625696293875596,14.54,29.7
172,1,26,4,300,100,0.21994489710210585,0.21945211104335638,0.21994489710210585,0.1554264446129983,36.25,26.3
173,1,1,0,60,2000,0.3450741696932839,0.3066851118543473,0.3450741696932839,0.054047297034474515,178.01,27.4
174,1,23,4,20,15000,0.4789542770756459,0.48780108849415277,0.4789542770756459,0.0006295698843445321,4.4,26.9
175,1,23,4,210,50000,0.0,0.30172498734478437,0.0,0.006610483785617587,0.0,26.9
176,1,16,2,6,25000,0.18094497042935884,0.1809865229206955,0.18094497042935884,0.002752121673149135,24.35,22.3
177,1,1,0,1,10000,0.3250793931433298,0.325926377112665,0.3250793931433298,0.0009007882839079086,545.07,27.4
178,0,4,0,100,20000,0.33747100437118993,0.3580974196455279,0.33747100437118993,0.082635267840553,30.08,31.6
179,1,5,0,600,1000,0.226401749470806,0.33903641429753123,0.226401749470806,0.8106035444131806,20.66,12.9
181,0,1,0,5,25000,0.2631530296472726,0.2464575942416441,0.2631530296472726,0.004503941419539543,152.72,27.4
182,1,0,0,210,1000,0.1980802705249653,0.171766900295511,0.1980802705249653,0.1413973881763712,15.98,16.5
183,1,12,2,15,400,0.23449989019330436,0.23300552489268672,0.23449989019330436,0.003987666722585168,14.21,27.3
184,1,22,4,70,2000,0.14006854586699163,0.12914800210090718,0.14006854586699163,0.0282362508670049,16.51,19.8
185,1,1,0,480,500,0.1862711313101121,0.31173420772838895,0.1862711313101121,0.4323783762757961,245.69,27.4
186,1,0,0,4,200,0.22001040787034276,0.22004589113891018,0.22001040787034276,0.0026932835843118327,15.65,16.5
187,0,10,1,4,5000,0.16123999608549858,0.16101869115659756,0.16123999608549858,-0.0011608365557906847,0.0,30.3
189,0,3,0,10,50000,0.19509394379486888,0.20456151344557813,0.19509394379486888,0.00524324471049948,43.79,22.8
191,1,9,1,100,5000,0.6873490395599287,0.6324648865915288,0.6873490395599287,0.14129778861150316,0.0,31.1
192,0,25,4,540,10000,0.22557130393242183,0.2652344526039215,0.22557130393242183,-0.05843351101736776,10.34,24.8
193,1,3,0,180,500,0.18454335708714348,0.1564051617396644,0.18454335708714348,0.09437840478899062,27.73,22.8
195,0,12,2,2,50000,0.15261214889008545,0.15865811870394392,0.15261214889008545,0.0005316888963446891,13.71,27.3
196,1,23,4,80,100,0.33043550407287214,0.314361064124037,0.33043550407287214,0.0025182795373781285,6.09,26.9
197,1,21,3,1,50,0.3519269776244095,0.34990251018357926,0.3519269776244095,-0.00016917916235747766,38.61,20.5
198,1,15,2,720,300,0.22206144785035378,0.4236450814477035,0.22206144785035378,0.013521354853137808,10.47,12.9
199,1,18,3,80,25000,0.14544013690770208,0.15078645759983222,0.14544013690770208,0.0141183881209152,19.34,25.1
200,1,18,3,5,25000,0.14838029055697588,0.14802444315414687,0.14838029055697588,0.0008823992575572,19.16,25.1
201,0,15,2,7,500,0.2668030808445557,0.26430846575366296,0.2668030808445557,0.0001314576166277287,12.61,12.9
202,0,0,0,1,50,0.3170219565032028,0.3170219565032028,0.3170219565032028,0.0006733208960779582,10.67,16.5
203,0,8,1,210,15000,0.19419586636490216,0.18808280988105058,0.19419586636490216,-0.005276212503778798,9.01,28.5
204,1,13,2,150,15000,0.2294103316728624,0.2165437235483307,0.2294103316728624,0.0035675914490048226,10.21,14.5
205,0,11,1,70,50,0.18946481533875642,0.19623062795640533,0.18946481533875642,0.008547446672011991,14.95,16.3
207,1,7,1,660,2000,0.24461019394628528,0.2562765269355438,0.24461019394628528,0.0739243749709323,17.04,30.6
208,1,6,1,270,200,0.23959059191739368,0.189032343016564,0.23959059191739368,-0.008859636110203349,10.36,29.7
209,0,18,3,50,50000,0.14545417360558302,0.14166817642128224,0.14545417360558302,0.008823992575572,24.23,25.1
210,1,2,0,90,300,0.21860068862749601,0.22507059044824912,0.21860068862749601,0.05381196645800528,45.35,14.7
211,0,7,1,7,5000,0.23865112335500477,0.24074145768858743,0.23865112335500477,0.0007840464012068578,16.35,30.6
213,1,7,1,60,15000,0.25703517909165263,0.2593144773610023,0.25703517909165263,0.0067203977246302095,5.08,30.6
214,0,9,1,40,50000,0.37024007762142336,0.3680847569891208,0.37024007762142336,0.05651911544460127,0.0,31.1
215,0,19,3,420,3000,0.0983521100771431,0.18607066934159833,0.0983521100771431,0.09136844307707612,32.49,17.6
216,0,22,4,30,5000,0.1894585768968194,0.18955811699986527,0.1894585768968194,0.012101250371573528,15.99,19.8
217,1,18,3,4,50,0.13765567167337578,0.1369341047956861,0.13765567167337578,0.0007059194060457601,23.9,25.1
218,0,14,2,1,20000,0.24004289626470568,0.24004289626470568,0.24004289626470568,0.0003126615958421016,10.14,14.8
219,0,9,1,6,15000,0.3168329519560738,0.3190172596397011,0.3168329519560738,0.00847786731669019,0.0,31.1
220,1,16,2,120,10000,0.15125830498790754,0.13786351728260743,0.15125830498790754,0.0550424334629827,21.94,22.3
221,1,3,0,420,300,0.21250569589897378,0.2975757383811504,0.21250569589897378,0.22021627784097814,25.1,22.8
222,1,11,1,4,3000,0.21687876907524548,0.21690690806849272,0.21687876907524548,0.0004884255241149711,17.53,16.3
223,1,5,0,50,3000,0.3443857099122158,0.3647593269494841,0.3443857099122158,0.06755029536776505,26.56,12.9
224,1,3,0,120,100,0.20113702542244433,0.1678616402013174,0.20113702542244433,0.06291893652599376,28.44,22.8
225,0,19,3,210,100,0.10866855699272904,0.12710247955934106,0.10866855699272904,0.04568422153853806,20.88,17.6
226,0,16,2,2,50,0.18392091879722608,0.1839422261479219,0.18392091879722608,0.0009173738910497119,26.89,22.3
228,1,4,0,240,10000,0.46684736602036386,0.47154145466592773,0.46684736602036386,0.19832464281732717,119.6,31.6
230,0,6,1,180,300,0.24590023587846202,0.27565448027907413,0.24590023587846202,-0.005906424073468899,5.23,29.7
231,1,17,2,300,25000,0.4991429262960183,0.34150813501737715,0.4991429262960183,0.21558776605992375,8.94,12.0
232,0,20,3,30,200,0.15303614297385007,0.15491640772115411,0.15303614297385007,0.006349480823622488,19.88,25.1
233,1,23,4,330,50000,0.0,0.2959896275500204,0.0,0.01038790309168478,0.0,26.9
234,0,11,1,3,3000,0.3184035444509369,0.3186638195707075,0.3184035444509369,0.00036631914308622824,12.02,16.3
236,1,18,3,90,1500,0.15636301781478965,0.14430598583042775,0.15636301781478965,0.0158831866360296,17.34,25.1
237,1,14,2,660,1000,0.2601245411740723,0.27521261898355254,0.2601245411740723,0.20635665325578706,11.23,14.8
238,0,10,1,300,1000,0.14177278585401715,0.18500475104635172,0.14177278585401715,-0.08706274168430135,0.0,30.3
239,0,14,2,2,15000,0.2882785983436638,0.2906122979748013,0.2882785983436638,0.0006253231916842032,12.91,14.8
240,1,7,1,300,5000,0.2474347876521056,0.239231744557918,0.2474347876521056,0.033601988623151044,3.15,30.6
241,1,11,1,1,5000,0.20959160691804413,0.21103615377327958,0.20959160691804413,0.00012210638102874276,13.65,16.3
242,1,0,0,210,4000,0.28501925176291193,0.22883592827605317,0.28501925176291193,0.1413973881763712,12.41,16.5
244,1,2,0,300,20000,0.28701532190063245,0.23163170189434099,0.28701532190063245,0.17937322152668428,36.29,14.7
245,1,6,1,540,50,0.2643585929867263,0.20984758908327197,0.2643585929867263,-0.017719272220406698,8.66,29.7
246,0,13,2,420,10000,0.24989530181054478,0.37066474659179705,0.24989530181054478,0.009989256057213503,12.68,14.5
247,1,3,0,480,500,0.21420925594218101,0.2144076414508598,0.21420925594218101,0.25167574610397503,0.0,22.8
248,1,12,2,40,10000,0.12391903505224307,0.13208582729421275,0.12391903505224307,0.010633777926893781,13.49,27.3
249,0,26,4,270,2000,0.22000470103324055,0.24797191078410202,0.22000470103324055,0.13988380015169846,13.76,26.3
250,1,23,4,3,1000,0.34425828839695316,0.34502545675401647,0.34425828839695316,9.443548265167981e-05,5.96,26.9
251,1,3,0,240,500,0.16877724646164932,0.15983474070149997,0.16877724646164932,0.12583787305198751,27.73,22.8
252,0,11,1,1,25000,0.25980385246321813,0.25980385246321813,0.25980385246321813,0.00012210638102874276,13.32,16.3
253,0,19,3,70,5000,0.1387119009074534,0.13796856354317014,0.1387119009074534,0.015228073846179352,21.03,17.6
254,0,8,1,15,1000,0.21472489150718607,0.2148582184432594,0.21472489150718607,-0.00037687232169848555,9.41,28.5
255,1,1,0,3,50000,0.35411460609051754,0.3538384229682579,0.35411460609051754,0.0027023648517237255,244.3,27.4
256,1,20,3,1,100,0.1636367064371427,0.16175580852209637,0.1636367064371427,0.00021164936078741628,15.33,25.1
258,0,23,4,420,20000,0.4961439697952616,0.37075479640963105,0.4961439697952616,0.013220967571235174,4.4,26.9
259,0,24,4,330,25000,0.3177652602809393,0.5003572026163872,0.3177652602809393,-0.1274174209252902,0.0,30.0
260,0,18,3,15,400,0.11073273782638118,0.11292741919263503,0.11073273782638118,0.0026471977726716003,124.04,25.1
261,0,6,1,300,5000,0.18060729828572258,0.25365807545054325,0.18060729828572258,-0.009844040122448165,5.65,29.7
262,1,23,4,270,300,0.28498219607706493,0.30057090840176504,0.28498219607706493,0.008499193438651183,8.27,26.9
263,1,27,4,2,10000,0.24937678720703463,0.24857731119391985,0.24937678720703463,0.0008332148934623965,9.51,27.9
264,0,19,3,60,20000,0.15270846683938039,0.1540729888703372,0.15270846683938039,0.013052634725296587,23.98,17.6
265,0,15,2,600,15000,0.22130994758680028,0.3932574332464626,0.22130994758680028,0.011267795710948172,10.38,12.9
266,0,23,4,10,300,0.2906523887908111,0.29317571418538924,0.2906523887908111,0.00031478494217226607,4.65,26.9
267,0,11,1,150,20000,0.22629877642163695,0.25997129336701774,0.22629877642163695,0.01831595715431141,13.65,16.3
268,1,23,4,720,3000,0.48190628851106787,0.3062629645685637,0.48190628851106787,0.022664515836403158,5.8,26.9
269,1,2,0,15,5000,0.2519321957355507,0.25244660361146515,0.2519321957355507,0.008968661076334214,10.66,14.7
270,0,11,1,120,200,0.34003175945436737,0.22586560328944233,0.34003175945436737,0.014652765723449129,15.39,16.3
272,0,20,3,100,50000,0.16104652434274586,0.1631663633637475,0.16104652434274586,0.021164936078741627,15.33,25.1
273,1,22,4,1,2000,0.18984833374515525,0.18841057268529793,0.18984833374515525,0.00040337501238578427,26.03,19.8
275,1,6,1,30,400,0.2258072339584072,0.21561063071359912,0.2258072339584072,-0.0009844040122448164,7.01,29.7
276,1,3,0,20,5000,0.24814155206011382,0.25155046881297327,0.24814155206011382,0.01048648942099896,24.67,22.8
